,Run,Current BTC,Total Profit,Average BTC Price,Ending BTC Price
0,0.0,0.1984251895534077,571912.1976503497,12073.09072142397,17939.641264145193
1,1.0,0.48209173136697747,591788.8368872277,12676.749127042254,17828.4704898006
2,2.0,1.5749001479193376,615962.9910791864,14459.734592007435,30168.91025346084
3,3.0,20.913332250532246,151984.22008961844,4903.65586110791,4628.212734429798
4,4.0,0.8902989959285565,576382.76100649,11979.37277376067,23458.75283097328
5,5.0,23.928176542089055,120160.98691349752,4250.2133460084215,1844.3536068603933
6,6.0,0.730720186594775,974517.4084606937,37979.16142861159,52169.10881395224
7,7.0,1.1610068570127736,479176.4645247882,9296.120715048295,12446.074026205979
8,8.0,1.6384815201705245,566772.6947773152,13623.359467746457,28873.215143748508
9,9.0,0.1770514136140542,803906.7347715051,23496.953196394647,55785.20709834117
10,10.0,0.8139377592658548,1115015.6445602498,17228.794502947672,12799.624386916834
11,11.0,19.237681903636105,169370.0078470923,5334.863608081527,4907.283486709077
12,12.0,17.059475485210882,201403.08710102263,5805.227107663979,3027.3530370148706
13,13.0,0.28497150546885264,520334.9565126752,10426.919400531999,16704.310844522115
14,14.0,1.6021617822885421,825343.9238722647,31148.856248534576,118290.45306452221
15,15.0,0.8999539867437196,530286.2082351033,10921.275602160804,17563.097186706706
16,16.0,1.0342398997653393,959551.9732080991,15281.424054705989,13265.170011126183
17,17.0,1.246216869362646,557909.2038952315,11723.418978219575,16356.419984307544
18,18.0,0.893375894806862,582208.9657963131,12635.438642153586,19200.675234092556
19,19.0,1.1409554264621853,576196.1393332403,12507.23215457424,19015.282168991453
20,20.0,1.392406697722241,664000.7909942345,15653.553283651883,20825.835852527405
21,21.0,0.13079020737822145,571697.1217855265,11301.2418403014,15203.16962250922
22,22.0,1.9233449159053704,935523.7817809645,38244.20650677624,58901.547655391296
23,23.0,1.2126077240679225,554207.1548878738,11510.32710137571,24271.71719371276
24,24.0,10.504015466518641,321899.5452952593,7092.737939136081,11317.488892912917
25,25.0,1.028278810007266,952682.232804746,37722.16879773264,71638.73895797474
26,26.0,0.037378368491320924,938661.5004555683,17205.67663359356,22035.52285162216
27,27.0,11.2730608951681,287574.6641464184,6937.691833271517,10117.813356718905
28,28.0,0.8171164951458185,542719.9610108283,10764.290731021936,14985.52740634176
29,29.0,0.9554033451036685,559473.8604087252,11775.050154210263,20898.83150356674
30,30.0,0.7360717182859611,552575.1620594423,11348.080482213256,21552.203256924917
31,31.0,0.9075454949492836,644643.2204449634,16800.943704620804,42753.548954149606
32,32.0,1.6469955022736515,998834.3269647274,38329.505024352286,51243.50992669354
33,33.0,1.4916861503514547,581166.0193049854,12930.620221981122,21826.831995016124
34,34.0,1.1528881022087378,613425.3349633804,13615.676343745023,20211.713389096105
35,35.0,2.0084013714054354,468787.28247198387,8930.080505682618,5703.788350461127
36,36.0,0.354242711565274,887409.4945018898,25964.096188961747,72847.79348212256
37,37.0,3.8318015479075145,451398.3504452006,8443.781496961332,11565.150830797807
38,38.0,21.729611924327767,141336.5640645052,4795.768461290734,2485.7455123406326
39,39.0,0.05674790513733363,1334772.1271149619,24109.84896859859,20337.352186216463
40,40.0,6.192899155066218,404877.5033708533,7920.766364232463,12545.332239190251
41,41.0,1.6808226586045385,995296.6759952108,41587.709821939934,74276.43409443859
42,42.0,21.134278119276377,149274.29696589746,4887.871691221543,2747.1013695067163
43,43.0,5.467485429059679,418971.24308027944,8121.323282988508,12620.075961761177
44,44.0,1.1172829908988477,582486.217139881,13008.5644076465,17330.30759725794
45,45.0,0.21974129518447238,600177.1083531684,13298.745158913978,21125.91354875305
46,46.0,0.07624593946355374,907441.6616329602,31701.232222808434,171183.78706177007
47,47.0,4.64420339813492,416150.47652157914,8377.409522646552,4685.491822779522
48,48.0,0.60536254226408,560276.0942046858,9838.412258347442,12014.918035793244
49,49.0,0.1804565406975711,933808.2875234425,17012.520437624935,21192.667160215668
