,Total Profit (STD),Total Profit (max),Total Profit (mean),Total Profit (min),c1,c2,c3,,Price,Price/BTC,BTC,,,std,max,min
,,,,,,,,,52000,811741.6,15.61041538,,,,,
,,,,,,,,,52500,827417,15.76032381,,,,,
,,,,,,,,,53000,843242.4,15.91023396,,,,,
,,,,,,,,,53500,859217.8,16.06014579,,,,,
,,,,,,,,,54000,875343.2,16.21005926,,,,,
,,,,,,,,,54500,891618.6,16.35997431,,,,,
,,,,,,,,,55000,908044,16.50989091,,,,,
,,,,,,,,,55500,924619.4,16.65980901,,,,,
,,,,,,,,,56000,941344.8,16.80972857,,,,,
,,,,,,,,,56500,958220.2,16.95964956,,,,,
