,Run,Current BTC,Total Profit,Average BTC Price,Ending BTC Price,,,,, Current BTC , Total Profit , Average BTC Price , Ending BTC Price 
81,81,1.063460966,97450.95017,15745.63399,11999.12369,,,,,,,,
82,82,0.272655229,72415.19368,11312.91858,31238.03096,,,,,,,,
83,83,0.603732877,84807.88128,16886.11592,17549.49038,,,,,,,,
84,84,0.627146981,83932.17919,12297.32298,18913.49461,,,,,,,,
85,85,0.195078748,74031.75512,5772.926764,4866.431158,,,,,,,,
86,86,0.669301656,64448.59077,9405.201079,13481.73451,,,,,,,,
87,87,0.871829448,60359.49883,4663.485196,4532.226566,,,,,,,,
88,88,0.802686412,80328.15871,26166.85105,80865.93546,,,,,,,,
89,89,1.301752708,90699.47701,14382.00096,10954.07692,,,,,,,,
90,90,0.01689241,77663.07544,5595.592255,5074.390275,,,,,,,,
91,91,1.168334871,54061.43446,6041.64554,9876.556862,,,,,,,,
92,92,0.814373728,79960.03955,5788.784785,5226.151523,,,,,,,,
93,93,0.576106663,87548.98585,23857.8472,19989.95452,,,,,,,,
94,94,0.510163208,67693.84436,8404.210467,12180.58759,,,,,,,,
95,95,0.605393311,85117.76766,16283.62617,12067.55779,,,,,,,,
96,96,0.245263977,55084.47822,4311.550008,2653.710429,,,,,,,,
97,97,0.718780614,81910.41716,23752.83683,55841.11077,,,,,,,,
98,98,0.04324215,97511.73298,6682.444426,4644.887269,,,,,,,,
99,99,1.278241613,69902.9058,12878.80212,24215.61534,,,,,,,,
100,100,0.164967555,74621.51184,37772.5041,69443.56701,,,,,,,,
101,101,0.396241533,89204.6841,12147.08399,22719.36521,,,,,,,,
102,102,0.903706691,77850.70072,17586.45889,20248.05562,,,,,,,,
103,103,0.117640597,95250.00654,11709.62936,16514.25651,,,,,,,,
104,104,0.10350142,76126.85438,5537.731813,3733.960816,,,,,,,,
105,105,1.103864492,96892.64446,18623.68303,14233.52057,,,,,,,,
106,106,0.29346178,72032.86456,10463.8622,18299.98766,,,,,,,,
107,107,0.131346105,75219.84157,5888.586277,6084.267442,,,,,,,,
108,108,0.671568144,64420.0293,9653.103737,15946.61313,,,,,,,,
109,109,1.186109772,71917.16326,11430.12133,15059.48053,,,,,,,,
110,110,0.506822085,86557.16697,34520.00355,190910.1089,,,,,,,,
111,111,1.22211076,71093.17993,21023.65211,53565.50462,,,,,,,,
112,112,1.704442853,81520.61437,17242.29487,12799.62439,,,,,,,,
113,113,1.053751839,74902.4331,4655.992128,2071.73631,,,,,,,,
114,114,0.164490086,74602.54669,10058.61145,13447.76885,,,,,,,,
115,115,0.84410998,60931.87626,9944.150343,16470.25453,,,,,,,,
116,116,0.312806636,71664.4976,31240.11703,105368.5244,,,,,,,,
117,117,1.013577788,75578.32931,21991.46068,50868.79601,,,,,,,,
118,118,1.024208716,97590.17684,14756.01588,36662.10177,,,,,,,,
119,119,0.648245894,83710.68466,7303.46412,15735.62959,,,,,,,,
120,120,0.976168372,76388.05585,6090.412204,7168.09801,,,,,,,,
121,121,0.211176668,73714.63827,31700.1557,111790.9036,,,,,,,,
122,122,0.017190611,77406.64714,7718.639015,12557.8511,,,,,,,,
