,Run,Current BTC,Total Profit,Average BTC Price,Ending BTC Price,,,,, Current BTC , Total Profit , Average BTC Price , Ending BTC Price 
0,0,0.954426203,613926.8262,13493.77887,21158.84529,,,,  Min  , 0.05 ," 121,250.54 "," 3,682.35 "," 1,533.89 "
1,1,0.488790297,873661.9985,16087.15576,18503.45318,,,,  Mean  , 3.42 ," 658,918.41 "," 15,928.99 "," 27,838.09 "
2,2,0.112963969,892414.3213,16160.52028,18798.58195,,,,  Median  , 1.05 ," 604,214.93 "," 13,415.42 "," 19,779.87 "
3,3,17.29237766,121250.5426,3682.350761,1533.887657,,,,  STD  , 5.07 ," 334,741.08 "," 10,308.71 "," 25,289.26 "
4,4,5.799164256,383657.064,7735.637987,12425.58934,,,,  Max  , 17.29 ," 1,559,845.40 "," 41,522.21 "," 95,700.67 "
5,5,0.848667664,1394684.622,23599.19399,19773.2348,,,,  Range  , 17.25 ," 1,438,594.85 "," 37,839.86 "," 94,166.79 "
6,6,0.756868821,493612.4928,9314.361497,6118.214702,,,,,,,,
7,7,1.323864042,846092.1578,23474.27553,59164.224,,,,,,,,
8,8,1.197521727,578137.7058,12343.15597,23134.37159,,,,,,,,
9,9,1.051382395,632699.1498,14090.23712,30356.53736,,,,,,,,
10,10,0.696873645,1114271.235,38031.78238,50687.95692,,,,,,,,
11,11,11.8846123,247136.0241,6281.933767,10178.81826,,,,,,,,
12,12,0.045125214,559636.2661,11471.26603,21041.37577,,,,,,,,
13,13,1.293957347,594503.0427,12802.40323,21614.16842,,,,,,,,
14,14,0.707227787,661542.4414,14496.87844,19786.49822,,,,,,,,
15,15,0.344222685,1075200.855,40864.53511,64821.02157,,,,,,,,
16,16,1.616950631,459312.789,8999.985117,12085.88041,,,,,,,,
17,17,0.181697626,868202.5013,23081.01668,56211.48995,,,,,,,,
18,18,1.867408728,992193.6649,41522.20953,95700.67316,,,,,,,,
19,19,6.154138132,372787.6481,7672.950662,14214.48294,,,,,,,,
20,20,16.40898004,151681.4879,4424.058068,2197.466687,,,,,,,,
21,21,0.896291134,592746.7699,12443.58671,17243.33322,,,,,,,,
22,22,2.300674282,866044.9802,28191.8258,93234.04881,,,,,,,,
23,23,1.039536585,534766.0287,11187.4749,19823.60752,,,,,,,,
24,24,5.001945602,399939.5624,7959.813308,9926.6616,,,,,,,,
25,25,0.495244995,629729.6249,13615.34558,21695.443,,,,,,,,
26,26,1.661566861,581293.8098,13345.53946,30795.42692,,,,,,,,
27,27,0.450756908,1054660.582,40705.56617,77145.45023,,,,,,,,
28,28,10.06003789,281496.4774,6729.267995,5639.006017,,,,,,,,
29,29,12.42723633,236097.1235,6200.493928,7080.750956,,,,,,,,
30,30,1.867408728,992193.6649,41522.20953,95700.67316,,,,,,,,
31,31,1.314923129,1242671.216,20581.84744,20790.64354,,,,,,,,
32,32,0.228762867,1559845.395,26346.17873,20605.93239,,,,,,,,
33,33,15.16520148,180697.2887,5055.319404,4681.442895,,,,,,,,
34,34,0.059956889,581284.0117,12612.29289,34059.15427,,,,,,,,
35,35,0.404819731,706842.19,15334.65068,19657.05532,,,,,,,,
36,36,0.649877107,493831.122,9566.970584,12894.7041,,,,,,,,
37,37,0.441079136,498105.8353,9692.314969,14448.98049,,,,,,,,
38,38,5.001945602,399939.5624,7959.813308,9926.6616,,,,,,,,
39,39,0.538263554,625253.6876,13485.29898,27932.4331,,,,,,,,
40,40,0.188270295,880783.5058,14414.62612,11526.15738,,,,,,,,
41,41,1.515893487,560595.6934,12707.88076,36622.06519,,,,,,,,
42,42,4.519114577,412371.1087,8074.231975,12538.56692,,,,,,,,
43,43,0.870969257,890942.7669,26723.42639,83771.63882,,,,,,,,
44,44,1.245336156,665432.548,14034.23149,17948.02537,,,,,,,,
45,45,15.71569282,167834.9492,4820.323895,2465.243591,,,,,,,,
46,46,0.689238556,1302312.477,21934.25525,18892.03739,,,,,,,,
47,47,0.295658609,656214.0382,14435.45631,29797.03749,,,,,,,,
48,48,0.08636679,833809.8993,21753.04176,50317.30544,,,,,,,,
49,49,14.88067008,191579.8901,5386.645828,5238.319495,,,,,,,,
