,Total Profit (STD),Total Profit (max),Total Profit (mean),Total Profit (min),c1,c2,c3,,Price,Price/BTC,BTC,,,std,max,min
,,,,,,,,,14500,21029.35,1.4503,,,,,
,,,,,,,,,15000,22504.5,1.5003,,,,,
,,,,,,,,,15500,24029.65,1.5503,,,,,
,,,,,,,,,16000,25604.8,1.6003,,,,,
,,,,,,,,,16500,27229.95,1.6503,,,,,
,,,,,,,,,17000,28905.1,1.7003,,,,,
,,,,,,,,,17500,30630.25,1.7503,,,,,
,,,,,,,,,18000,32405.4,1.8003,,,,,
,,,,,,,,,18500,34230.55,1.8503,,,,,
,,,,,,,,,19000,36105.7,1.9003,,,,,
,,,,,,,,,19500,38030.85,1.9503,,,,,
,,,,,,,,,20000,40006,2.0003,,,,,
,,,,,,,,,20500,42031.15,2.0503,,,,,
,,,,,,,,,21000,44106.3,2.1003,,,,,
,,,,,,,,,21500,46231.45,2.1503,,,,,
,,,,,,,,,22000,48406.6,2.2003,,,,,
,,,,,,,,,22500,50631.75,2.2503,,,,,
,,,,,,,,,23000,52906.9,2.3003,,,,,
,,,,,,,,,23500,55232.05,2.3503,,,,,
,,,,,,,,,24000,57607.2,2.4003,,,,,
,,,,,,,,,24500,60032.35,2.4503,,,,,
,,,,,,,,,25000,62507.5,2.5003,,,,,
,,,,,,,,,25500,65032.65,2.5503,,,,,
,,,,,,,,,26000,67607.8,2.6003,,,,,
,,,,,,,,,26500,70232.95,2.6503,,,,,
,,,,,,,,,27000,72908.1,2.7003,,,,,
,,,,,,,,,27500,75633.25,2.7503,,,,,
,,,,,,,,,28000,78408.4,2.8003,,,,,
,,,,,,,,,28500,81233.55,2.8503,,,,,
,,,,,,,,,29000,84108.7,2.9003,,,,,
,,,,,,,,,29500,87033.85,2.9503,,,,,
,,,,,,,,,30000,90009,3.0003,,,,,
,,,,,,,,,30500,93034.15,3.0503,,,,,
,,,,,,,,,31000,96109.3,3.1003,,,,,
,,,,,,,,,31500,99234.45,3.1503,,,,,
,,,,,,,,,32000,102409.6,3.2003,,,,,
,,,,,,,,,32500,105634.75,3.2503,,,,,
,,,,,,,,,33000,108909.9,3.3003,,,,,
,,,,,,,,,33500,112235.05,3.3503,,,,,
,,,,,,,,,34000,115610.2,3.4003,,,,,
,,,,,,,,,34500,119035.35,3.4503,,,,,
,,,,,,,,,35000,122510.5,3.5003,,,,,
,,,,,,,,,35500,126035.65,3.5503,,,,,
,,,,,,,,,36000,129610.8,3.6003,,,,,
,,,,,,,,,36500,133235.95,3.6503,,,,,
,,,,,,,,,37000,136911.1,3.7003,,,,,
,,,,,,,,,37500,140636.25,3.7503,,,,,
,,,,,,,,,38000,144411.4,3.8003,,,,,
,,,,,,,,,38500,148236.55,3.8503,,,,,
,,,,,,,,,39000,152111.7,3.9003,,,,,
,,,,,,,,,39500,156036.85,3.9503,,,,,
,,,,,,,,,40000,160012,4.0003,,,,,
,,,,,,,,,40500,164037.15,4.0503,,,,,
,,,,,,,,,41000,168112.3,4.1003,,,,,
,,,,,,,,,41500,172237.45,4.1503,,,,,
,,,,,,,,,42000,176412.6,4.2003,,,,,
,,,,,,,,,42500,180637.75,4.2503,,,,,
,,,,,,,,,43000,184912.9,4.3003,,,,,
,,,,,,,,,43500,189238.05,4.3503,,,,,
,,,,,,,,,44000,193613.2,4.4003,,,,,
,,,,,,,,,44500,198038.35,4.4503,,,,,
,,,,,,,,,45000,202513.5,4.5003,,,,,
,,,,,,,,,45500,207038.65,4.5503,,,,,
,,,,,,,,,46000,211613.8,4.6003,,,,,
,,,,,,,,,46500,216238.95,4.6503,,,,,
,,,,,,,,,47000,220914.1,4.7003,,,,,
,,,,,,,,,47500,225639.25,4.7503,,,,,
,,,,,,,,,48000,230414.4,4.8003,,,,,
,,,,,,,,,48500,235239.55,4.8503,,,,,
,,,,,,,,,49000,240114.7,4.9003,,,,,
,,,,,,,,,49500,245039.85,4.9503,,,,,
,,,,,,,,,50000,250015,5.0003,,,,,
,,,,,,,,,50500,255040.15,5.0503,,,,,
,,,,,,,,,51000,260115.3,5.1003,,,,,
,,,,,,,,,51500,265240.45,5.1503,,,,,
,,,,,,,,,52000,270415.6,5.2003,,,,,
,,,,,,,,,52500,275640.75,5.2503,,,,,
,,,,,,,,,53000,280915.9,5.3003,,,,,
,,,,,,,,,53500,286241.05,5.3503,,,,,
,,,,,,,,,54000,291616.2,5.4003,,,,,
,,,,,,,,,54500,297041.35,5.4503,,,,,
,,,,,,,,,55000,302516.5,5.5003,,,,,
,,,,,,,,,55500,308041.65,5.5503,,,,,
,,,,,,,,,56000,313616.8,5.6003,,,,,
,,,,,,,,,56500,319241.95,5.6503,,,,,
