,Total Profit (STD),Total Profit (max),Total Profit (mean),Total Profit (min),c1,c2,c3,,Price,Price/BTC,BTC,,,std,max,min
0,54289.59618,470996.3326,349260.3513,277970.9343,0.0008,0.0001,500,,1000,100.3,0.1003,,,0.155441624,1.348553682,0.795884598
1,107821.3035,599012.6625,396723.8641,257602.2318,0.0006,0.0006,500,,1500,225.45,0.1503,,,0.271779223,1.509898236,0.649323762
2,114008.5352,646379.7918,427810.4817,272771.3102,0.0003,0.0001,500,,2000,400.6,0.2003,,,0.266493085,1.510902186,0.637598474
3,227682.7266,1003922.111,560959.1256,269374.3393,0.0001,0.0008,250,,2500,625.75,0.2503,,,0.405881135,1.789652873,0.48020315
4,355254.8533,1411847.448,707098.6349,269913.4364,0.0001,0.0001,500,,3000,900.9,0.3003,,,0.50241202,1.996676813,0.38171964
5,222811.3202,1122877.785,756818.776,480272.12,0.0001,0.0003,0,,3500,1226.05,0.3503,,,0.294405117,1.483681193,0.634593294
,,,,,,,,,4000,1601.2,0.4003,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,4500,2026.35,0.4503,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,5000,2501.5,0.5003,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,5500,3026.65,0.5503,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,6000,3601.8,0.6003,,,,,
,,,,,,,,,6500,4226.95,0.6503,,,,,
,,,,,,,,,7000,4902.1,0.7003,,,,,
,,,,,,,,,7500,5627.25,0.7503,,,,,
,,,,,,,,,8000,6402.4,0.8003,,,,,
,,,,,,,,,8500,7227.55,0.8503,,,,,
,,,,,,,,,9000,8102.7,0.9003,,,,,
,,,,,,,,,9500,9027.85,0.9503,,,,,
,,,,,,,,,10000,10003,1.0003,,,,,
,,,,,,,,,10500,11028.15,1.0503,,,,,
,,,,,,,,,11000,12103.3,1.1003,,,,,
,,,,,,,,,11500,13228.45,1.1503,,,,,
,,,,,,,,,12000,14403.6,1.2003,,,,,
,,,,,,,,,12500,15628.75,1.2503,,,,,
,,,,,,,,,13000,16903.9,1.3003,,,,,
,,,,,,,,,13500,18229.05,1.3503,,,,,
,,,,,,,,,14000,19604.2,1.4003,,,,,
